,theMonth,theWeek,theDay,theYear,total,UniteCount,BLMCount,LibCribCount,CS1950Count,PFMCount,HillaryCount
0,11,45,11,2015,295726,121.0,9550.0,12.0,7515.0,18537.0,12.0
1,11,45,12,2015,107507,229.0,4511.0,18.0,7242.0,3930.0,42.0
2,11,45,13,2015,54681,262.0,2804.0,50.0,3311.0,711.0,5.0
3,11,45,14,2015,49349,971.0,2079.0,805.0,1713.0,128.0,496.0
4,11,46,15,2015,22475,2742.0,1130.0,1615.0,870.0,53.0,1181.0
5,11,46,16,2015,15215,2864.0,1720.0,1653.0,378.0,61.0,1119.0
6,11,46,17,2015,11426,3087.0,1147.0,1538.0,399.0,45.0,1042.0
7,11,46,18,2015,9323,2237.0,714.0,1417.0,419.0,35.0,920.0
8,11,46,19,2015,6710,687.0,489.0,680.0,489.0,10.0,680.0
9,11,46,20,2015,9696,1857.0,921.0,1332.0,333.0,7.0,885.0
10,11,46,21,2015,5991,2209.0,290.0,1483.0,258.0,11.0,1052.0
11,11,47,22,2015,7256,2523.0,405.0,1441.0,182.0,8.0,1046.0
12,11,47,23,2015,5631,2174.0,397.0,1406.0,115.0,9.0,1056.0
13,11,47,24,2015,4453,2123.0,268.0,1531.0,114.0,18.0,1045.0
14,11,47,25,2015,3601,1929.0,149.0,1298.0,101.0,5.0,820.0
15,11,47,26,2015,2811,1630.0,81.0,1270.0,69.0,5.0,753.0
16,11,47,27,2015,5080,1957.0,78.0,1321.0,97.0,6.0,810.0
17,11,47,28,2015,3365,1748.0,217.0,1260.0,69.0,7.0,832.0
18,11,48,29,2015,4973,2242.0,177.0,1258.0,105.0,7.0,863.0
19,11,48,30,2015,4422,1723.0,97.0,1146.0,81.0,5.0,996.0
20,12,48,1,2015,2444,706.0,105.0,704.0,46.0,0.0,704.0
21,12,48,2,2015,2590,754.0,78.0,750.0,20.0,7.0,750.0
22,12,48,3,2015,1839,730.0,147.0,728.0,8.0,6.0,728.0
23,12,48,4,2015,8419,724.0,60.0,723.0,5.0,2.0,723.0
24,12,48,5,2015,1712,517.0,17.0,517.0,10.0,3.0,517.0
25,12,49,6,2015,554,2.0,34.0,0.0,0.0,0.0,0.0
26,12,49,7,2015,628,1.0,37.0,0.0,1.0,4.0,0.0
27,12,49,8,2015,896,1.0,81.0,0.0,4.0,5.0,0.0
28,12,49,9,2015,617,0.0,16.0,0.0,4.0,0.0,0.0
29,12,49,10,2015,1224,0.0,6.0,0.0,2.0,2.0,0.0
30,12,49,11,2015,559,2.0,27.0,2.0,3.0,1.0,0.0
31,12,49,12,2015,654,0.0,13.0,0.0,4.0,2.0,0.0
32,12,50,13,2015,719,0.0,6.0,0.0,3.0,0.0,0.0
33,12,50,14,2015,2402,7.0,35.0,0.0,11.0,0.0,0.0
34,12,50,15,2015,2363,5.0,32.0,0.0,30.0,2.0,0.0
35,12,50,16,2015,870,0.0,13.0,0.0,14.0,1.0,0.0
36,12,50,17,2015,1086,1.0,41.0,0.0,5.0,1.0,0.0
37,12,50,18,2015,865,0.0,62.0,0.0,7.0,2.0,0.0
38,12,50,19,2015,644,0.0,20.0,0.0,4.0,0.0,0.0
39,12,51,20,2015,547,0.0,9.0,0.0,1.0,2.0,0.0
40,12,51,21,2015,904,1.0,150.0,0.0,2.0,0.0,0.0
41,12,51,22,2015,659,0.0,8.0,0.0,3.0,0.0,0.0
42,12,51,23,2015,765,1.0,72.0,0.0,0.0,0.0,0.0
43,12,51,24,2015,914,0.0,33.0,0.0,0.0,0.0,0.0
44,12,51,25,2015,103,0.0,13.0,0.0,2.0,1.0,0.0
45,12,51,26,2015,131,1.0,36.0,0.0,0.0,0.0,0.0
46,12,52,27,2015,313,0.0,2.0,0.0,1.0,0.0,0.0
47,12,52,28,2015,292,0.0,39.0,0.0,0.0,0.0,0.0
48,12,52,29,2015,533,4.0,15.0,0.0,8.0,0.0,0.0
49,12,52,30,2015,1050,7.0,38.0,0.0,4.0,0.0,0.0
50,12,52,31,2015,345,3.0,29.0,0.0,0.0,0.0,0.0
51,1,0,1,2016,252,0.0,8.0,0.0,8.0,0.0,0.0
52,1,0,2,2016,478,3.0,1.0,0.0,0.0,0.0,0.0
53,1,1,3,2016,316,2.0,15.0,0.0,2.0,1.0,0.0
54,1,1,4,2016,537,3.0,7.0,0.0,4.0,0.0,0.0
55,1,1,5,2016,907,0.0,4.0,0.0,0.0,1.0,0.0
56,1,1,6,2016,499,0.0,11.0,0.0,0.0,0.0,0.0
57,1,1,7,2016,695,0.0,11.0,0.0,4.0,0.0,0.0
58,1,1,8,2016,550,0.0,6.0,0.0,3.0,1.0,0.0
59,1,1,9,2016,381,0.0,2.0,0.0,0.0,4.0,0.0
60,1,2,10,2016,1025,0.0,6.0,0.0,1.0,1.0,0.0
61,1,2,11,2016,490,0.0,3.0,0.0,0.0,0.0,0.0
62,1,2,12,2016,439,1.0,2.0,0.0,0.0,0.0,0.0
63,1,2,13,2016,3088,1.0,6.0,0.0,1.0,0.0,0.0
64,1,2,14,2016,767,0.0,7.0,0.0,0.0,1.0,0.0
65,1,2,15,2016,1188,0.0,8.0,0.0,1.0,0.0,0.0
66,1,2,16,2016,842,0.0,1.0,0.0,0.0,1.0,0.0
67,1,3,17,2016,403,0.0,18.0,0.0,1.0,0.0,0.0
68,1,3,18,2016,393,5.0,1.0,0.0,0.0,0.0,0.0
